"latitude","longitude","pid"
41.2944135,-72.9305936,13478
41.2944423,-72.930475,13479
41.2943051,-72.9300792,13480
41.2942794,-72.9311847,15149
41.2941659,-72.9325933,15171
41.2941657,-72.9324418,15172
41.2941798,-72.9322883,15173
41.2941857,-72.9321549,15174
41.2941224,-72.9319899,15175
41.2942258,-72.9318769,15176
41.2942482,-72.931716,15177
41.2942712,-72.9315803,15178
41.294297,-72.9314627,15179
41.2943163,-72.9313346,15180
41.2945143,-72.9323691,15188
41.2945118,-72.9324819,15189
41.2944873,-72.9325887,15190
41.2944634,-72.9327058,15191
41.2946599,-72.9313422,15204
41.2946388,-72.9314849,15205
41.2946236,-72.9316259,15206
41.2946058,-72.9317579,15207
41.294659,-72.931913,15208
41.2945644,-72.9319878,15209
41.2945565,-72.9320525,15210
41.2945391,-72.9321257,15211
41.2948119,-72.9306097,15228
41.2936034,-72.936638,16246
41.293577,-72.936537,16247
41.2936328,-72.9364513,16248
41.2936356,-72.9363259,16249
41.293556,-72.9361629,16250
41.2936764,-72.9360481,16251
41.2936255,-72.9359107,16256
41.2937513,-72.9356126,16257
41.2937658,-72.9354543,16258
41.2934992,-72.9375341,16280
41.2935216,-72.937417,16281
41.2935366,-72.9373026,16282
41.2935445,-72.9371799,16283
41.2935639,-72.9370626,16284
41.2935745,-72.9369396,16285
41.2932739,-72.9390355,16297
41.2932821,-72.938916,16298
41.2932971,-72.9388007,16299
41.2933047,-72.9386567,16300
41.2933194,-72.9385112,16301
41.2933488,-72.9383637,16302
41.2933773,-72.9382121,16303
41.2934176,-72.9380931,16304
41.2934286,-72.9378461,16305
41.2938435,-72.9346934,16334
41.293778,-72.934533,16335
41.2938709,-72.9344243,16336
41.293897,-72.9343036,16337
41.2939183,-72.9341694,16338
41.293953,-72.9340339,16339
41.2940801,-72.9354368,16348
41.2940885,-72.9356063,16349
41.2940784,-72.9357429,16350
41.2940689,-72.9358793,16351
41.2940516,-72.9360619,16352
41.2940006,-72.936246,16353
41.2939806,-72.936388,16354
41.2939587,-72.9365056,16355
41.2939328,-72.9366992,16356
41.294317,-72.9339557,16368
41.294328,-72.9340712,16369
41.2943205,-72.9341632,16370
41.2942726,-72.9342866,16371
41.2942562,-72.9344068,16372
41.2942322,-72.9345379,16373
41.2941925,-72.9346846,16374
41.2941941,-72.9348051,16375
41.2937734,-72.9379164,19330
41.293762,-72.9380601,19331
41.2937369,-72.9381994,19332
41.2937221,-72.9383385,19333
41.2937239,-72.9384593,19334
41.293693,-72.9385887,19335
41.2936714,-72.9387177,19336
41.2936578,-72.9388597,19337
41.2939176,-72.9370593,19351
41.2938727,-72.9371944,19352
41.2938599,-72.9373275,19353
41.293873,-72.9374799,19354
41.2938372,-72.937607,19355
