"","high_latitude.latitude","high_latitude.longitude"
"1",41.38539,-72.91267
"2",41.38397,-72.91261
"3",41.38458,-72.912636
"4",41.384724,-72.91268
"5",41.38469,-72.912674
"6",41.384045,-72.91265
"7",41.38374,-72.912636
"8",41.38343,-72.91263
"9",41.38316,-72.91261
"10",41.383007,-72.912506
"11",41.38273,-72.91224
"12",41.382317,-72.91185
"13",41.38237,-72.9119
"14",41.382072,-72.9116
"15",41.382114,-72.91164
"16",41.38216,-72.91167
"17",41.382202,-72.911705
"18",41.382248,-72.911736
"19",41.38229,-72.91178
"20",41.382786,-72.91225
"21",41.34751,-72.98465
"22",41.34752,-72.98461
"23",41.34753,-72.98457
"24",41.40738,-72.91199
"25",41.40736,-72.91203
"26",41.40737,-72.91201
"27",41.40729,-72.91215
"28",41.40721,-72.91233
"29",41.40713,-72.91248
"30",41.407,-72.91272
"31",41.40693,-72.91287
"32",41.40689,-72.91294
"33",41.40688,-72.91296
"34",41.35712,-72.93869
"35",41.35712,-72.93883
"36",41.3571,-72.9391
"37",41.40574,-72.91426
"38",41.34935,-72.94479
"39",41.3476,-72.95491
"40",41.3476,-72.95309
"41",41.34758,-72.95306
"42",41.34759,-72.95305
"43",41.34997,-72.94624
"44",41.34963,-72.94546
"45",41.35722,-72.9512
"46",41.35675,-72.94906
"47",41.35541,-72.94624
"48",41.35037,-72.94715
"49",41.35045,-72.94804
"50",41.36036,-72.95624
"51",41.34993,-72.94607
"52",41.34951,-72.9451
"53",41.40179,-73.00137
"54",41.39984,-73.00114
"55",41.39504,-73.0007
"56",41.3952,-73.0007
"57",41.39512,-73.0007
"58",41.39194,-73.00053
"59",41.391,-73.00055
"60",41.39033,-73.00053
"61",41.39479,-73.0007
"62",41.39454,-73.00069
"63",41.39331,-73.00069
